frame_idx,timestamp_ms,detected,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,confidence,area,contour_area,distance_px,heatmap_ready,is_paused,kalman_corrected,kalman_predicted,pause_count,pause_duration_s,size_mean,speed_px_s,total_pause_time_s
149,4966.67,1,192,394,120,313,183,205,0.5864,21999.50,21999.5,1040.2907717883015,1.0,0.0,1.0,1.0,0.0,0.0,30492,29.999999999999908,0.0
150,5000.00,1,194,395,120,313,182,204,0.5955,22108.50,22108.5,1042.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,45.6207189772365,0.0
151,5033.33,1,195,395,120,313,183,206,0.5864,22104.50,22104.5,1043.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,53.03300858899126,0.0
152,5066.67,1,196,395,120,313,183,206,0.5870,22130.00,22130.0,1044.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,45.620718977236805,0.0
153,5100.00,1,197,395,120,313,183,204,0.5908,22057.50,22057.5,1045.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,38.24264635194602,0.0
154,5133.33,1,198,395,119,313,185,207,0.5865,22460.50,22460.5,1046.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,29.999999999999908,0.0
155,5166.67,1,199,395,120,313,184,207,0.5859,22314.00,22314.0,1047.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,29.999999999999908,0.0
156,5200.00,1,200,395,120,313,184,207,0.5975,22758.00,22758.0,1048.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,29.999999999999908,0.0
157,5233.33,1,201,395,120,313,184,207,0.6026,22950.50,22950.5,1049.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,29.999999999999908,0.0
158,5266.67,1,202,395,121,313,183,206,0.6033,22745.00,22745.0,1050.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.000000000000107,0.0
159,5300.00,1,203,395,123,314,181,205,0.6237,23142.00,23142.0,1051.5268397658012,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.000000000000107,0.0
